Business Name,Business Niche,Address,City Area,Phone Number,WhatsApp Contact,Website,Social Media Links,Google Maps Listing URL,Date Collected,Email Address,WhatsApp,Additional Phone Numbers,Website (Verified),Social Profiles,Email Validation Status,Date Enriched,Source URLs
Standard Bearers School,School,No.3 Rasheed Ladoja Street Lekki Lagos,Lekki,+234 8068189259,Not Available,https://standardbearersschool.ng,Not Available,https://maps.google.com/?q=Standard+Bearers+School+Lekki,2025-06-15,admissions@standardbearersschool.ng; administration@standardbearersschool.ng,Not Available,+234 8097906162,https://standardbearersschool.ng,Not Available,valid_mx,2025-06-15,https://standardbearersschool.ng
Meadow Hall Education,School,Meadow Hall Way Alma Beach Estate Lekki-Epe Express Way Lekki Lagos,Lekki,+234 8073000556,Not Available,https://meadowhalleducation.org,Not Available,https://maps.google.com/?q=Meadow+Hall+School+Lekki,2025-06-15,admissions@meadowhallschool.org; info@meadowhallschool.org,Not Available,Not Available,https://meadowhalleducation.org,Not Available,Verified (found on website),2025-06-15,https://meadowhalleducation.org
Corona Schools (Lekki),School,Block 35 Corona Drive Abijo GRA Scheme 2 Ibeju Lekki,Lekki,+234 7072713342,Not Available,https://coronaschools.org,Not Available,https://maps.google.com/?q=Corona+Schools+Lekki,2025-06-15,lks@coronaschools.org,Not Available,+234 7043058186,https://coronaschools.org,Not Available,valid_mx,2025-06-15,https://coronaschools.org/contact-us
Lekki Peculiar School,School,A Close Opposite Sky Mall Ocean Palm Estate Lekki-Ajah Lagos,Lekki,+234 8120009300,Not Available,https://peculiarschools.com,Not Available,https://maps.google.com/?q=Lekki+Peculiar+School,2025-06-15,info@peculiarschools.com,Not Available,+234 8105100661,https://peculiarschools.com,Not Available,valid_mx,2025-06-15,https://peculiarschools.com/contact-us
Alpha Pharmacy (Lekki Phase 1),Pharmacy,Lekki Phase 1 Lagos,Lekki,+234 12951803,Not Available,https://alphapharmacy.com.ng,Not Available,https://maps.google.com/?q=Alpha+Pharmacy+Lekki+Phase+1,2025-06-15,Not Available,Not Available,+234 9060009815; +234 9062440938,https://alphapharmacy.com.ng,Not Available,N/A,2025-06-15,https://alphapharmacy.com.ng/branch-finder
MedPlus Pharmacy (Novare Lekki Mall),Pharmacy,Novare Lekki Mall Lekki Lagos,Lekki,+234 8188687911,Not Available,https://novare-lekki.com,Not Available,https://maps.google.com/?q=MedPlus+Pharmacy+Novare+Lekki,2025-06-15,Not Available,Not Available,Not Available,https://novare-lekki.com,Not Available,N/A,2025-06-15,https://novare-lekki.com/stores/medplus-pharmacy
Mopheth Pharmacy (Lekki 1),Pharmacy,32A Admiralty Way Lekki Phase 1 Lagos,Lekki,+234 8088526198,Not Available,https://mophethonline.com,Not Available,https://maps.google.com/?q=Mopheth+Pharmacy+Lekki,2025-06-15,hello@mophethonline.com,Not Available,+234 7089453992,https://mophethonline.com,Not Available,Verified (found on website),2025-06-15,https://mophethonline.com/store-locator
HealthPlus Pharmacy,Pharmacy,Lagos,Lekki,+234 7074588745,Not Available,https://healthplusnigeria.com,Not Available,https://maps.google.com/?q=HealthPlus+Pharmacy+Lagos,2025-06-15,customercare@healthplusnigeria.com,Not Available,Not Available,https://healthplusnigeria.com,Not Available,Verified (found on website),2025-06-15,https://healthplusnigeria.com
Wittyliz Events Limited,Event Planning,1 Ayo Opadokun Street Abraham Adesanya Estate Lekki Epe Expressway Lagos,Lekki,+234 8071329774,Not Available,https://wittylizevents.com,Not Available,https://maps.google.com/?q=Wittyliz+Events+Lekki,2025-06-15,Not Available,Not Available,Not Available,https://wittylizevents.com,Not Available,N/A,2025-06-15,https://wittylizevents.com/contact-us
Gadiel Event Planners,Event Planning,Lekki Lagos,Lekki,Not Available,Not Available,https://www.gadieleventplanners.com.ng,Not Available,https://maps.google.com/?q=Gadiel+Event+Planners+Lekki,2025-06-15,gadielluxury@gmail.com,Not Available,Not Available,https://www.gadieleventplanners.com.ng,Not Available,valid_mx,2025-06-15,https://www.finelib.com/listing/Gadiel-Event-Planner/111607
Lekki Event Planners,Event Planning,Lekki Lagos,Lekki,Not Available,Not Available,Not Available,https://www.facebook.com/lekkieventplanners,https://maps.google.com/?q=Lekki+Event+Planners,2025-06-15,lekkieventplanners@gmail.com,Not Available,Not Available,Not Available,https://www.facebook.com/lekkieventplanners,valid_mx,2025-06-15,https://www.facebook.com/lekkieventplanners
Oxgital (Digital Marketing & Advertising),Marketing & Advertising Agency,5 Lekki-Epe Expy Lekki Phase 1 Lagos 106104,Lekki,+234 7083845690,Not Available,https://oxgital.com,Not Available,https://maps.google.com/?q=Oxgital+Lekki,2025-06-15,oxgital@gmail.com,Not Available,Not Available,https://oxgital.com,Not Available,valid_mx,2025-06-15,https://oxgital.com
Team 316 Media (Digital Advertising),Marketing & Advertising Agency,14 Folashade Julius Idowu Street Thomas Lekki Epe Expressway Lagos,Lekki,+234 8080248027,Not Available,https://team316media.com,Not Available,https://maps.google.com/?q=Team+316+Media+Lekki,2025-06-15,Not Available,Not Available,Not Available,https://team316media.com,Not Available,N/A,2025-06-15,https://team316media.com
Digital Square (Media Buying),Marketing & Advertising Agency,37 Ladi Alakija Street Lekki Phase 1 Lagos,Lekki,Not Available,Not Available,https://digitalsquare.com.ng,Not Available,https://maps.google.com/?q=Digital+Square+Lekki+Phase+1,2025-06-15,info@digitalsquare.com.ng,Not Available,Not Available,https://digitalsquare.com.ng,Not Available,Verified (found on website),2025-06-15,https://digitalsquare.com.ng/media-buying
Cybertech Digitals,IT / Software Company,16b Oluwole Street Lekki Lagos,Lekki,+234 8107539186,Not Available,https://cybertechdigitals.com,Not Available,https://maps.google.com/?q=Cybertech+Digitals+Lekki,2025-06-15,info@cybertechdigitals.com,Not Available,Not Available,https://cybertechdigitals.com,Not Available,valid_mx,2025-06-15,https://cybertechdigitals.com
TDigital,IT / Software Company,Lagos Nigeria,Lekki,+234 9036723177,Not Available,https://tdigital.ng,Not Available,https://maps.google.com/?q=TDigital+Lagos,2025-06-15,johnfash@tdigital.ng,Not Available,Not Available,https://tdigital.ng,Not Available,valid_mx,2025-06-15,https://tdigital.ng
Atco Homes,Real Estate Agency,Lagos Nigeria,Lekki,+234 7048000331,Not Available,https://atcohomes.ng,Not Available,https://maps.google.com/?q=Atco+Homes+Lagos,2025-06-15,info@atcohomes.ng,Not Available,+234 9055555446,https://atcohomes.ng,Not Available,valid_mx,2025-06-15,https://atcohomes.ng
CompraMart (Discount Supermarket),Supermarket / Grocery,25 Mobil Road Ilaje opposite VIO office Lekki-Ajah Lagos,Lekki,+234 8026615324,Not Available,https://www.comprasupermart.com,Not Available,https://maps.google.com/?q=CompraMart+Lekki,2025-06-15,Not Available,Not Available,Not Available,https://www.comprasupermart.com,Not Available,N/A,2025-06-15,https://www.comprasupermart.com


