company_name,industry,linkedin_url,website,address,phone,email,employee_range,description,date_collected,source
Kings University College,Education,https://www.linkedin.com/company/kings-university-college-accra-ghana,,"East Legon, Accra, Ghana",,,201-500,"University college located in Accra, Ghana offering undergraduate and graduate programs.",2026-04-05,Brave Search + LinkedIn
Liberty Law Consult,Legal Services,https://www.linkedin.com/company/liberty-law-consult,,"East Legon, Accra, Ghana",,,2-10,"Law firm providing legal consultation services based in East Legon, Accra.",2026-04-05,Brave Search + LinkedIn
AB Lexmall Associates Lawyers,Legal Services,https://www.linkedin.com/company/ab-lexmall-associates-lawyers,,"East Legon, Accra, Ghana",,,2-10,"Legal practice based in East Legon, Accra, Ghana.",2026-04-05,Brave Search + LinkedIn
Vome Studio,Fashion & Design,https://www.linkedin.com/company/vomestudio,,"East Legon, Accra, Ghana",,,2-10,"Fashion and design studio based in Accra, Ghana.",2026-04-05,Brave Search + LinkedIn
Healthlink Social,Healthcare & Social Services,https://www.linkedin.com/company/healthlinksocial,,"East Legon, Accra, Ghana",,,2-10,"Healthcare and social services organization based in East Legon, Accra.",2026-04-05,Brave Search + LinkedIn
LuccaHealth Advanced Medical Center,Healthcare,https://www.linkedin.com/company/luccahealth,,"Plot No. 27 Maseru Street, East Legon, Accra",,,11-50,State-of-the-art medical center equipped for same-day surgical interventions and modern diagnostics. Two medical centers in Accra.,2026-04-05,Brave Search + LinkedIn
Leding Medlab,Healthcare & Diagnostics,https://www.linkedin.com/company/leding-medlab,,"East Legon, Accra, Ghana",,,2-10,"Medical laboratory providing diagnostic services in Accra, Ghana.",2026-04-05,Brave Search + LinkedIn
MDS Lancet Laboratories,Healthcare & Diagnostics,https://www.linkedin.com/company/mdslancetlaboratories,,"Accra, Ghana",,,201-500,Leading pathology laboratory providing diagnostic services across Ghana.,2026-04-05,Brave Search + LinkedIn
The Atlantic Mall,Retail & Shopping,https://www.linkedin.com/company/theatlanticmall,,"East Legon, Accra, Ghana",,,11-50,"Shopping mall and retail center in East Legon, Accra.",2026-04-05,Brave Search + LinkedIn
The Trust Hospital,Healthcare,https://www.linkedin.com/company/the-trust-hospital,,"Accra, Ghana",,,201-500,"Hospital providing comprehensive healthcare services in Accra, Ghana.",2026-04-05,Brave Search + LinkedIn
TEKSOL LIMITED (GHANA),Technology & Software,https://www.linkedin.com/company/teksol-limited-ghana,,"Shiashie Nii Yemo Avenue Rd, East Legon, Accra",,,11-50,Rapidly growing software development company offering fully fledged IT services for various business sectors.,2026-04-05,Brave Search + LinkedIn
Ghana Dot Com Limited,Technology & IT Services,https://www.linkedin.com/company/ghana-dot-com-limited,,"16 Boundary Road, East Legon, Accra",,,11-50,"Technology company providing IT services, software development, and product design. Operations fully in Ghana.",2026-04-05,Brave Search + LinkedIn
Accra Angels Network,Venture Capital & Investment,https://www.linkedin.com/company/accra-angels-network,,"8 Asoyi Road, East Legon, Accra",,,2-10,Angel investor network connecting startups with investors in Ghana.,2026-04-05,Brave Search + LinkedIn
African Bagg Recruitment,HR & Recruitment,https://www.linkedin.com/company/african-bagg-recruitment,,"East Legon, Accra, Ghana",,,11-50,"Staffing, recruiting, and human resources services company based in Accra, Ghana.",2026-04-05,Brave Search + LinkedIn
AH Hotel Africa,Hospitality,https://www.linkedin.com/company/ahhotelafrica,,"East Legon, Accra, Ghana",,,51-200,"Hotel providing accommodation and hospitality services in East Legon, Accra.",2026-04-05,Brave Search + LinkedIn
Food Hall Co,Food & Beverage,https://www.linkedin.com/company/food-hall-co,,"East Legon, Accra, Ghana",,,11-50,"Food hall and restaurant concept in East Legon, Accra.",2026-04-05,Brave Search + LinkedIn
The Eatery,Food & Beverage,https://www.linkedin.com/company/the-eatery,,"East Legon, Accra, Ghana",,,11-50,"Restaurant and eatery based in East Legon, Accra, Ghana.",2026-04-05,Brave Search + LinkedIn
Link Restaurant Group,Food & Beverage,https://www.linkedin.com/company/link-restaurant-group,,"East Legon, Accra, Ghana",,,11-50,"Restaurant group operating in East Legon, Accra, Ghana.",2026-04-05,Brave Search + LinkedIn
Robert & Sons Optical Services,Healthcare & Optical,https://www.linkedin.com/company/robert-and-sons-optical-services,,"East Legon, Accra, Ghana",,,2-10,"Optical services provider offering eye care and eyewear in East Legon, Accra.",2026-04-05,Brave Search + LinkedIn
American Rejuvenation,Healthcare & Wellness,https://www.linkedin.com/company/american-rejuvenation,,"East Legon, Accra, Ghana",,,2-10,"Healthcare and rejuvenation wellness center based in Accra, Ghana.",2026-04-05,Brave Search + LinkedIn
Society for AIDS in Africa,NGO & Healthcare,https://www.linkedin.com/company/society-for-aids-in-africa,,"East Legon, Accra, Ghana",,,11-50,"Non-governmental organization focused on HIV/AIDS awareness, prevention, and treatment in Africa.",2026-04-05,Brave Search + LinkedIn
University of Ghana Medical Center,Healthcare,https://www.linkedin.com/company/university-of-ghana-medical-center,,"East Legon, Accra, Ghana",,,501-1000,"Premier medical center affiliated with the University of Ghana, providing world-class healthcare.",2026-04-05,Brave Search + LinkedIn
AV Ventures,Financial Services & Investment,https://www.linkedin.com/company/avventures,,"East Legon, Accra, Ghana",,,2-10,"Venture capital and financial services firm based in Accra, Ghana.",2026-04-05,Brave Search + LinkedIn
Kimathi & Co,Legal Services,https://www.linkedin.com/company/kimathi-,,"East Legon, Accra, Ghana",,,2-10,"Law firm providing legal services based in East Legon, Accra, Ghana.",2026-04-05,Brave Search + LinkedIn
WTS Nobis Fields,Real Estate,https://www.linkedin.com/company/wtsnobisfields,,"East Legon, Accra, Ghana",,,11-50,"Real estate development company based in East Legon, Accra, Ghana.",2026-04-05,Brave Search + LinkedIn
