type,name,industry,linkedin_url,description,date_collected,source
company,AKCS Technologies,Technology,https://gh.linkedin.com/company/getakcs,"AKCS Technologies Information Services  Osu ,  Accra  17 followers Digital Invites, Event Registration & Ticketing About us AKCS Technologies is a forward-thinking attendee management company that...",2026-04-05,site:linkedin.com/company Osu Accra startup
company,Impact Wave Initiative,NGO & Nonprofit,https://www.linkedin.com/company/impact-wave-initiative1,"Website https://iiwave.org Industry Non-profit Organizations Company size 2-10 employees Headquarters  Accra , Greater  Accra  Type Nonprofit Founded 2022",2026-04-05,site:linkedin.com/company Osu Accra startup
company,Ozone Ghana,Technology,https://gh.linkedin.com/company/ozone-ghana,"Ozone Ghana  Technology , Information and Internet  Osu  ,  Accra  321 followers About us Ozone is a proudly owned Ghanaian Internet / IT Solutions Provider established in September 2012 formerly...",2026-04-05,site:linkedin.com/company Osu Accra technology
company,Tech Era,Technology,https://gh.linkedin.com/company/techeraafrica,"Tech Era Non-profit Organizations  Osu  ,  Accra  606 followers The Future is for Everyone About us Tech Era is a tech social enterprise that accelerates development towards an inclusive Africa.",2026-04-05,site:linkedin.com/company Osu Accra technology
company,Touch Stack Technologies,Technology,https://gh.linkedin.com/company/touch-stack-technologies,Technology  is the future. Let us help you connect with the future. | We’ve been helping companies of all sizes respond to industry transitions in order to stay competitive.,2026-04-05,site:linkedin.com/company Osu Accra technology
company,Unlockspaces,Healthcare,https://gh.linkedin.com/company/unlockspaces,"#Eventspaces #Restaurants #Accommodation #Experiences. Website https://www.unlockspaces.com Industry  Hospitality  Company size 2-10 employees Headquarters  Osu ,  Accra  Type Privately Held...",2026-04-05,site:linkedin.com/company Osu Accra hospitality
company,AJ CONSORTIUM,Healthcare,https://www.linkedin.com/company/aj-consortium,We provide Corporate  Hospitality  Management Services for mixed groups of 10 or more guests and an exclusive hire option for larger corporations tailored particularly for each client&#39;s needs.,2026-04-05,site:linkedin.com/company Osu Accra hospitality
company,La Villa Boutique Hotel,Hospitality & Tourism,https://www.linkedin.com/company/la-villa-boutique-hotel,"The Oasis of  Accra  | La Villa Boutique Hotel provides a truly unforgettable experience for those with distinctive taste. Located in the heart of  Osu , a suburb in  Accra .",2026-04-05,site:linkedin.com/company Osu Accra hospitality
company,The Black Swan Inn Accra,Hospitality & Tourism,https://gh.linkedin.com/company/the-black-swan-inn-accra,"The Black Swan Inn  Accra  | 322 followers on  LinkedIn . British Sports Pub in the heart of  Osu ,  Accra , Ghana | 7 screens showing up to 3 games at once. Large selection of draft and bottled...",2026-04-05,site:linkedin.com/company Osu Accra hospitality
company,Lake Bosumtwi Hotel & Apartment,Hospitality & Tourism,https://gh.linkedin.com/company/lake-bosumtwi-hotel-apartment,"Our modern styling and spacious rooms are a cut above the rest in  Osu , you will be staying in comfort and style whether you are with us for a night or a month. Our apartment rooms are a home away...",2026-04-05,site:linkedin.com/company Osu Accra hospitality
company,Igiyazi Properties,Real Estate & Construction,https://gh.linkedin.com/company/igiyazi-properties,Igiyazi Properties Limited is a Property Management Company committed to providing excellent  Real   Estate  and associated Services whilst delivering the utmost value to all its stakeholders.,2026-04-05,site:linkedin.com/company Osu Accra real estate
company,Orel Ghana,Real Estate & Construction,https://gh.linkedin.com/company/orel-ghana,"Since its recent inception, Orel Ghana has rapidly grown and is currently managing several luxury and economy apartment complexes in  Accra , Kumasi and Takoradi.",2026-04-05,site:linkedin.com/company Osu Accra real estate
company,GHB PROPERTIES,Real Estate & Construction,https://www.linkedin.com/company/ghb-properties,GHB PROPERTIES Ltd is a privately owned Ghanaian company incorporated in 2020 with  real   estate  development and home building as its core business. We are specialized in the provision of...,2026-04-05,site:linkedin.com/company Osu Accra real estate
company,eSAL (eServices Africa Ltd.),Consulting & Legal,https://gh.linkedin.com/company/esalbpo,"eSAL (eServices Africa Ltd.) Outsourcing and Offshoring Consulting Spintex,  Accra , Greater  Accra  5,325 followers eSAL BPO | Customer Experience & IT Champions.Empowering Global Businesses....",2026-04-05,site:linkedin.com/company Osu Accra real estate
company,Ghana Prime Properties - Real Estate Brokerage Services,Real Estate & Construction,https://gh.linkedin.com/company/ghana-prime-properties,We offer an array of services to clients interested in streamlining the  real   estate  process and are deeply committed to informing and connecting global communities to the  real   estate  market...,2026-04-05,site:linkedin.com/company Osu Accra real estate
company,Rabito Clinic Limited,Healthcare,https://gh.linkedin.com/company/rabito-clinic-limited,"Accredited by Medical and Dental Council, and the Health Facility Regulatory Agency of the Ghana Health Services, Rabito Clinic currently has fifteen (15) active branches throughout the country...",2026-04-05,site:linkedin.com/company Osu Accra healthcare
company,Accra Medical Centre,Healthcare,https://www.linkedin.com/company/accra-med-centre,Accra  Medical Centre | 217 followers on LinkedIn. AMC is committed to delivering patient-centered and personalized  healthcare .,2026-04-05,site:linkedin.com/company Osu Accra healthcare
company,Accra,Hospitality & Tourism,https://www.linkedin.com/company/accra,"For over 30 years,  Accra  has improved the lives of Minnesotans by providing individualized homecare services to people with disabilities and older adults, most of whom are Medicaid enrollees.",2026-04-05,site:linkedin.com/company Osu Accra healthcare
company,La Villa Boutique Hotel,Hospitality & Tourism,https://gh.linkedin.com/company/la-villa-boutique-hotel,"The Oasis of  Accra  | La Villa Boutique Hotel provides a truly unforgettable experience for those with distinctive taste. Located in the heart of  Osu , a suburb in  Accra .",2026-04-05,site:linkedin.com/company Osu Accra restaurant
company,THE FLORENCE ACCRA HOTEL AND RESTAURANT,Hospitality & Tourism,https://gh.linkedin.com/company/the-florence-accra-hotel-restaurant,"Thus we strive to provide a home away from home attention to all our guest’s needs. Right in the heart of  Accra  within convenience of the famous oxford street in  Osu , five minutes drive away...",2026-04-05,site:linkedin.com/company Osu Accra restaurant
company,Aura Lifestyle Club,General Business,https://gh.linkedin.com/company/auralifestyleclub,"Accra , Lab 20 followers Padel | Fitness | Lifestyle About us Aura Lifestyle is a Padel and wellness center, here, we combine sports, relaxation, and community in one vibrant space. Whether you're...",2026-04-05,site:linkedin.com/company Osu Accra restaurant
company,Yenze Ghana Mall,Retail,https://www.linkedin.com/company/yenze-ghana-mall,"Yenze Ghana Mall | 33 followers on  LinkedIn . They sell it high; we sell it low because it's ours! Shop smart at Yenze Ghana Mall today! | The BizBox Project brings to you Ghana Mall, a trade ...",2026-04-05,site:linkedin.com/company Osu Accra restaurant
company,AFROTHREADS®,Retail,https://www.linkedin.com/company/shopafrothreads,"We are also carried by the following retail stores: BrownMill Company in Newark, New Jersey and The Shop  Accra  in  Osu ,  Accra , Ghana.",2026-04-05,site:linkedin.com/company Osu Accra fashion
company,The Shop Accra,Hospitality & Tourism,https://gh.linkedin.com/company/the-shop-accra,The Shop  Accra  | 159 followers on  LinkedIn . A Social Enterprise : The Award-winning African-made lifestyle Shop. Ghana&#39;s first organised Orange Community. | The Orange Economic Community of...,2026-04-05,site:linkedin.com/company Osu Accra fashion
company,The Accra Goods Market,Restaurant & Food,https://gh.linkedin.com/company/accra-goods-market,"The  Accra  Goods Market | 353 followers on  LinkedIn . Accra&#39;s pop-up market for food,  fashion  and design goods",2026-04-05,site:linkedin.com/company Osu Accra fashion
company,Kukun,Restaurant & Food,https://www.linkedin.com/company/kukunghana,"Kukun is a cafe, coworking and office space in  Osu ,  Accra . www.kukun.co | Kukun is an exciting, creative new workspace providing fully furnished, serviced office spaces in  Osu ,  Accra .",2026-04-05,site:linkedin.com/company Osu Accra fashion
company,The Lotte Accra,Fashion & Beauty,https://gh.linkedin.com/company/the-lotte-accra,"The LOTTE is a luxury concept store of highly curated  fashion  & lifestyle goods from the African continent and diaspora. Based in  Accra , Ghana, The LOTTE is a destination and center for...",2026-04-05,site:linkedin.com/company Osu Accra fashion
company,Omsprojects,Real Estate & Construction,https://gh.linkedin.com/company/omsprojects,"Omsprojects | 1,519 followers on  LinkedIn . Investing in Storytelling. | Omsprojects is a creative practice with ethos of telling stories at its truest form. As a global practice, we document culture, sports and impact-driven projects with keen interests in sustainability and community building. Co",2026-04-05,"site:linkedin.com/company Osu Accra ""venture capital"" OR ""investment"""
company,MEDIA INITIATIVE GH,Technology,https://gh.linkedin.com/company/media-initiative-gh,"Website http://www.mediainitiativegh.com/ Industry Technology, Information and  Media  Company size 51-200 employees Headquarters  Osu   Accra  Type Privately Held",2026-04-05,site:linkedin.com/company Osu Accra media
company,The Sound of Accra Podcast,General Business,https://www.linkedin.com/company/the-sound-of-accra,"Hosted by Adrian, a British-Ghanaian passionate about Ghana who founded the show on the back of hosting a string of annual Diaspora professional networking events in Airport Residential Area,...",2026-04-05,site:linkedin.com/company Osu Accra media
company,Controller and Accountant General's Employees Co-operative,General Business,https://gh.linkedin.com/company/controller-and-accountant-general-s-employees-co-operative-credit-union,"Controller and Accountant-General’s Employees Co-operative Credit Union (CAGECCU), Walakataka street, Kuku Hill - Osu , prides itself as being the most viable Credit Union in the country.",2026-04-05,"site:linkedin.com/company ""Osu"" Accra Ghana hotel"
company,Christie Brown,Design & Innovation,https://gh.linkedin.com/company/christiebrown,"Christie Brown  Retail   Osu ,  Accra , Greater- Accra  822 followers A unique experience designed to complement the amazing personality of the woman —made specially for you. About us Christie...",2026-04-05,site:linkedin.com/company Osu Accra Ghana retail
company,GEOMETRIC,Marketing & Media,https://www.linkedin.com/company/geometric-global,Handcrafted apparel & accessories. Made in  Ghana . Connect to the source #buygeometric | A Handcrafted accessories & apparel brand that bridges the gap between the customer and artisan.,2026-04-05,site:linkedin.com/company Osu Accra Ghana retail
company,Koala Supermarket,Retail,https://gh.linkedin.com/company/koala-supermarket,We are widely recognized as the first  retail  store in  Ghana  to meet international standards with experienced professionals ready and committed to providing quality goods and services to meet...,2026-04-05,site:linkedin.com/company Osu Accra Ghana retail
company,Milano Jewellery,Fashion & Beauty,https://gh.linkedin.com/company/milano-jewellery,"Retail  Luxury Goods and Jewelry  accra ,  accra  20 followers Luxury Gold & Diamond Jewelry Shop High End Watches 🇬🇭 Based in  Ghana  📍 Osu  Adjacent to Planet Kebab About us Luxury Gold & Diamond Jewelry Shop High End Watches",2026-04-05,site:linkedin.com/company Osu Accra Ghana retail
company,SchoolBox Plus,Technology,https://gh.linkedin.com/company/schoolbox-plus,"School Supplies Superstore | SchoolBox Plus is a wholly owned subsidiary of Digital Education Group (DEG), in  Ghana  - West Africa, with its head office in  Osu ,  Accra .",2026-04-05,site:linkedin.com/company Osu Accra Ghana retail
company,Top-up Pharmacy,Healthcare,https://gh.linkedin.com/company/top-up-pharmacy,"Top-up pharmacy is a duly registered pharmaceutical company based in Tema,  Ghana . We are a leading  Retail , Wholesale pharmaceutical company with branches in Tema and  Accra .",2026-04-05,site:linkedin.com/company Osu Accra Ghana retail
professional,"Evans Osei - Accra, Greater Accra Region, Ghana",Technology,https://gh.linkedin.com/in/evans-osei-484ba7277,"Education:  Accra  Technical University · Location:  Accra  · 216 connections on LinkedIn. View Evans Osei’s profile on LinkedIn, a professional community of 1 billion members.",2026-04-05,"site:linkedin.com/in ""Osu"" Accra CEO OR founder"
professional,Obeng Isaac - Senior Graphic Designer | Art Director,Marketing & Media,https://gh.linkedin.com/in/obengisaac,"Senior Graphic Designer | Art Director | Visual Designer · Senior graphic designer and Art director with four years of hands-on experience translating ideas into visually striking designs. Proficient  in  Adobe Creative Suite, I specialize  in  brand identity, print collateral, and creative design. ",2026-04-05,"site:linkedin.com/in ""Osu"" Accra CEO OR founder"
professional,"Joseph Owusu - Accra, Greater Accra Region, Ghana",General Business,https://gh.linkedin.com/in/joseph-owusu-1a171b3ba,"Location:  Accra  · 5 connections on LinkedIn. View Joseph Owusu’s profile on LinkedIn, a professional community of 1 billion members.",2026-04-05,"site:linkedin.com/in ""Osu"" Accra CEO OR founder"
professional,Aubrey Owusu Amoah - Freelance Software Development,Technology,https://gh.linkedin.com/in/aubreyowusuamoah,"Experience: Freelance Software Development · Location:  Accra  · 1 connection on LinkedIn. View Aubrey Owusu Amoah’s profile on LinkedIn, a professional community of 1 billion members.",2026-04-05,"site:linkedin.com/in ""Osu"" Accra CEO OR founder"
professional,Derick Ofosu-Koranteng - Cyclux Consult,Technology,https://gh.linkedin.com/in/cyclux,I am Website Developer | Digital Marketer |  Entrepreneur  | CEO at Cyclux · Experience: Cyclux Consult · Location:  Accra  · 500+ connections on  LinkedIn . View Derick Ofosu-Koranteng’s profile...,2026-04-05,"site:linkedin.com/in ""Osu"" Accra entrepreneur"
professional,Osu Accra - OsuAccra.com,General Business,https://gh.linkedin.com/in/osu-accra-343b6a240,"Experience:  OsuAccra .com · Location: Accra · 2 connections on  LinkedIn . View  Osu   Accra ’s profile on  LinkedIn , a professional community of 1 billion members.",2026-04-05,"site:linkedin.com/in ""Osu"" Accra entrepreneur"
professional,Solomon Ofosu - Pida Ventures,Education & Training,https://gh.linkedin.com/in/solomon-ofosu-675bb23b9,"Experience: Pida Ventures · Education: University for Development Studies · Location:  Accra  · 3 connections on LinkedIn. View Solomon Ofosu’s profile on LinkedIn, a professional community of 1 billion members.",2026-04-05,"site:linkedin.com/in ""Osu"" Accra entrepreneur"
professional,"Vincent-Michael Ampadu Ph.D., MBA, MSc, EIT",Technology,https://gh.linkedin.com/in/vincentmichaelkampadu,"Dec 1, 2023 ·    This is a stretch of land from  Osu  in  Accra  which the government is developing to lease out to private contractors to set up residential and commercial properties and other tourist attractions.",2026-04-05,"site:linkedin.com/in ""Osu"" Accra entrepreneur"
professional,Barbara Baaba Blankson - Osu Presby Church Hall,Executive Leadership,https://gh.linkedin.com/in/barbara-baaba-blankson-5a58561b6,"Supports community-led  entrepreneurship  and educational initiatives, impacting 300+ children and youth across four rural communities in the Central Region of Ghana.",2026-04-05,"site:linkedin.com/in ""Osu"" Accra entrepreneur"
professional,"Nana Kwamena Takyi-Micah, MBA",Marketing & Media,https://www.linkedin.com/in/ahenktmicah,"Accra  , Ghana Developed contacts with dealers and sold over 100 digiboxes (satellite TV decoders) in 3 months to consumers throughout Ghana by conducting demos and door-to-door marketing",2026-04-05,"site:linkedin.com/in ""Osu"" Accra entrepreneur"
professional,"Isaac Dwimoh-Opoku, MRICS - Real Estate Investment",Finance & Professional Services,https://gh.linkedin.com/in/isaacdwimohopoku,Let’s connect if: You want trusted valuation for investment or financing You need market intelligence or location strategy You're exploring real estate investment  in  Ghana · Experience: Orient...,2026-04-05,"site:linkedin.com/in ""Osu"" Accra entrepreneur"
professional,Oxford Street Mall - --,General Business,https://gh.linkedin.com/in/oxford-street-mall-67257094,"The Osu  Oxford   Street  Mall is located on arguably one of the busiest nodes for retailing in  Accra .  Oxford   street  is lined with a variety of small to medium supermarkets, shops and...",2026-04-05,"site:linkedin.com/in ""Oxford Street"" Accra"
professional,Seth Amoako - Number one Oxford Street Hotel and Suites,Hospitality & Tourism,https://gh.linkedin.com/in/seth-amoako-610262193,Experience: Number one  Oxford   Street  Hotel and Suites · Education: Hospitality and tourism development institute · Location: Ghana · 284 connections on  LinkedIn . View Seth Amoako’s profile on...,2026-04-05,"site:linkedin.com/in ""Oxford Street"" Accra"
professional,Peter Nsor - Mixiologist/Bartender at Number 1 oxford street,General Business,https://gh.linkedin.com/in/peter-nsor-2a72a3234,"Mixiologist/Bartender at Number 1  oxford   street   Accra - Ghana ,Suites and apartment · Experience: Number 1  oxford   street   Accra - Ghana ,Suites and apartment · Location:  Accra . View...",2026-04-05,"site:linkedin.com/in ""Oxford Street"" Accra"
professional,Cudjoe Diaba - Oxford Street Clinic,Healthcare,https://gh.linkedin.com/in/cudjoe-diaba-1516808b,"Experience:  Oxford   Street  Clinic · Location:  Accra  · 364 connections on  LinkedIn . View Cudjoe Diaba’s profile on  LinkedIn , a professional community of 1 billion members.",2026-04-05,"site:linkedin.com/in ""Oxford Street"" Accra"
professional,Nathaniel Quarshie - Hotel Oxford Street,Hospitality & Tourism,https://gh.linkedin.com/in/nathaniel-quarshie-098376274,"Experience: Hotel  Oxford   Street  · Education: Aggrey Memorial A.M.E Zion SHS · Location:  Accra  · 47 connections on  LinkedIn . View Nathaniel Quarshie’s profile on  LinkedIn , a professional...",2026-04-05,"site:linkedin.com/in ""Oxford Street"" Accra"
professional,Albert Terkutey - Concierge at Number oxford street,Hospitality & Tourism,https://gh.linkedin.com/in/albert-terkutey-944913245,"Concierge at Number  oxford   street  · Experience: Number  oxford   street  · Location:  Accra . View Albert Terkutey’s profile on  LinkedIn , a professional community of 1 billion members.",2026-04-05,"site:linkedin.com/in ""Oxford Street"" Accra"
professional,Bright Sarpong - Front Office Agent at No. 1 Oxford street,Hospitality & Tourism,https://gh.linkedin.com/in/bright-sarpong-2a8582217,Front Office Agent at No. 1  Oxford   street  hotel and suites · Experience: No. 1  Oxford   street  hotel and suites · Location:  Accra  · 218 connections on  LinkedIn . View Bright Sarpong’s...,2026-04-05,"site:linkedin.com/in ""Oxford Street"" Accra"
professional,Edward Ofori MBA. - Administrative Manager | Business,Management,https://gh.linkedin.com/in/edward-ofori-mba-3a051554,"A seasoned professional with over a decade of experience in administrative management,  business   development , and volunteer leadership. Passionate about creating innovative solutions, fostering...",2026-04-05,"site:linkedin.com/in ""Osu"" Accra ""business development"""
professional,Daniel Owusu - Chartered Banker,Finance & Professional Services,https://gh.linkedin.com/in/daniel-owusu-85458049,Experience  Business   Development  Officer Liberty Capital Feb 2012 - Present 13 years 9 months  Osu   Accra,2026-04-05,"site:linkedin.com/in ""Osu"" Accra ""business development"""
professional,Andrew Nii Adjetey - MIoD (Institute of,Education & Training,https://gh.linkedin.com/in/andyadjetey,"· Experience: UG Nkabom Collaborative · Education: University of Ghana · Location:  Accra  · 500+ connections on  LinkedIn . View Andrew Nii Adjetey 🇬🇭’s profile on  LinkedIn , a professional...",2026-04-05,"site:linkedin.com/in ""Osu"" Accra ""business development"""
professional,"Katie Heitz - Director of Business Development, OSU Health",Healthcare,https://www.linkedin.com/in/katie-heitz-818b9349,"Director of  Business   Development ,  OSU  Health Plan · Experience: The Ohio  State  University Wexner Medical Center · Education: Xavier University · Location: Cincinnati · 500+ connections on...",2026-04-05,"site:linkedin.com/in ""Osu"" Accra ""business development"""
professional,"edward bright oworae - CEO, KCML, Head,Business Development",Executive Leadership,https://gh.linkedin.com/in/edward-bright-oworae-3a9b4347,"Experience Chief Executive Officer KC Money Lending Limited, (KCML) Nov 2012 - Present 13 years 5 months  Osu ,  Accra",2026-04-05,"site:linkedin.com/in ""Osu"" Accra ""business development"""
professional,Isaac Oduro - IPMC Ghana,Technology,https://gh.linkedin.com/in/isaacoduro,"As a creative designer, UI/UX designer, front-end developer, and someone who is into… · Experience: IPMC Ghana · Education: Ipmc college of technology · Location: Kumasi · 500+ connections on  LinkedIn . View Isaac Oduro’s profile on  LinkedIn , a professional community of 1 billion members.",2026-04-05,"site:linkedin.com/in ""Osu"" Accra ""marketing"" OR ""sales"""
professional,Engr. Sampson Oduro - SMT Africa,Technology,https://gh.linkedin.com/in/engr-sampson-oduro-01015a128,"I am a Heavy Mining Equipment mechanic with working experiences in the troubleshooting… · Experience: SMT Africa · Education: Kumasi Technical Institute (KTI) · Location:  Accra  · 500+ connections on LinkedIn. View Engr. Sampson Oduro’s profile on LinkedIn, a professional community of 1 billion mem",2026-04-05,"site:linkedin.com/in ""Osu"" Accra ""marketing"" OR ""sales"""
professional,Benjamin Kwasi Afari - Office Manager at Office of the,Healthcare,https://gh.linkedin.com/in/benjamin-kwasi-afari-953ba745,"Office  Manager  at Office of the President, Castle Clinic, The Castle,  Osu - Accra  · Experience: Office of the President, Castle Clinic, The Castle,  Osu - Accra  · Location:  Ghana . View...",2026-04-05,"site:linkedin.com/in ""Osu"" Accra Ghana manager"
professional,Derrick Ampomah - Osu - Accra,General Business,https://gh.linkedin.com/in/derrick-ampomah-50490743,"Osu  at  Accra  · Experience:  Accra  · Location:  Ghana . View Derrick Ampomah’s profile on  LinkedIn , a professional community of 1 billion members.",2026-04-05,"site:linkedin.com/in ""Osu"" Accra Ghana manager"
professional,Elizabeth Agbettor - Programme Manager (Inclusion) at Office,Healthcare,https://gh.linkedin.com/in/elizabeth-agbettor-41857134,"Programme  Manager  (Inclusion) at Office of the President, Castle Clinic, The Castle,  Osu - Accra   Ghana",2026-04-05,"site:linkedin.com/in ""Osu"" Accra Ghana manager"
professional,"Nick barnor - Office of the President, The Castle, Osu-Accra",Government & Public Sector,https://gh.linkedin.com/in/nick-barnor-9b54522b,"Experience: Office of the President, The Castle,  Osu - Accra  · Location:  Ghana  · 100 connections on  LinkedIn . View Nick barnor’s profile on  LinkedIn , a professional community of 1 billion...",2026-04-05,"site:linkedin.com/in ""Osu"" Accra Ghana manager"
professional,"JOE PRAMPRAM - Office Of The President Osu Accra, Ghana",Government & Public Sector,https://gh.linkedin.com/in/joe-prampram-903418125,"Transporter at Office Of The President  Osu   Accra ,  Ghana  · Experience: Office Of The President  Osu   Accra ,  Ghana  · Location:  Ghana . View JOE PRAMPRAM’s profile on  LinkedIn , a...",2026-04-05,"site:linkedin.com/in ""Osu"" Accra Ghana manager"
professional,Evans Boadu - Restaurant Manager at OSU-OKC,Management,https://gh.linkedin.com/in/evans-boadu-6220782b4,"Restaurant  Manager  at  OSU -OKC · Experience:  OSU -OKC · Location:  Accra  · 4 connections on  LinkedIn . View Evans Boadu’s profile on  LinkedIn , a professional community of 1 billion members.",2026-04-05,"site:linkedin.com/in ""Osu"" Accra Ghana manager"
professional,"Esther Ofosu - Art Teacher, Fine Artist and Creative Director",Technology,https://www.linkedin.com/in/esther-ofosu-599061147,"Art Teacher, Fine Artist and Creative  Director  at Xta Impressions · ☆ Esther Ofosu is a young emerging contemporary artist based in  Accra  and her work is inspired by craft labour and how it ...",2026-04-05,"site:linkedin.com/in ""Osu"" Accra Ghana director"
professional,"Gideon Amenuvor - Director at Office of the President, Castle",Healthcare,https://gh.linkedin.com/in/gideon-amenuvor-7029182b,"Director  at Office of the President, Castle Clinic, The Castle,  Osu - Accra  · Experience: Office of the President, Castle Clinic, The Castle,  Osu - Accra  · Location:  Ghana . View Gideon...",2026-04-05,"site:linkedin.com/in ""Osu"" Accra Ghana director"
professional,Adjara Salami - Managing Director - Office of the President,Healthcare,https://gh.linkedin.com/in/adjara-salami-032a042b,"Managing  Director  at Office of the President, Castle Clinic, The Castle,  Osu - Accra",2026-04-05,"site:linkedin.com/in ""Osu"" Accra Ghana director"
professional,Sosthenes Kelly Tay - Executive Assistant To The Osu Mantse,Technology,https://gh.linkedin.com/in/sosthenes-kelly-tay-77b01464,"Executive  Assistant To The  Osu  Mantse · Special Aid to the  Osu  Mants3, Manger Peakz Production House, Backline Tech, Sound Engineer, Blogger · Experience: Office of the  Osu  Mantse ·...",2026-04-05,"site:linkedin.com/in ""Osu"" Accra Ghana executive"
professional,"osei Asibey Akwasi - C E O at Office of the President, Castle",Healthcare,https://gh.linkedin.com/in/osei-asibey-akwasi-754b512b,"C E O at Office of the President, Castle Clinic, The Castle,  Osu - Accra  · Experience: Office of the President, Castle Clinic, The Castle,  Osu - Accra  · Location:  Ghana  · 1 connection on...",2026-04-05,"site:linkedin.com/in ""Osu"" Accra Ghana executive"
professional,Samuel Odonkor - An Ordained Apostle of God ll Author ll,Education & Training,https://gh.linkedin.com/in/samuel-odonkor,"About Samuel Odonkor is the Resident Pastor of Spiritlife Revival Ministries,  Osu ,  Accra  over the past 13 years. Samuel is a gifted teacher and preacher of the word of God and anointed in...",2026-04-05,"site:linkedin.com/in ""Osu"" Accra Ghana entrepreneur startup"
professional,ANGELA SRDOR - presbyterian senior high school osu - Accra,Education & Training,https://gh.linkedin.com/in/angela-srdor-a59a6b3ab,"Education: presbyterian senior high school  osu  · Location:  Accra . View ANGELA SRDOR’s profile on  LinkedIn , a professional community of 1 billion members.",2026-04-05,"site:linkedin.com/in ""Osu"" Accra Ghana entrepreneur startup"
