business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
The Commodore Hotel,Hotel / Boutique,"Portswood Rd, V&A Waterfront",VA-Waterfront,+27 21 419 9000,+27 21 419 9000,https://www.tsogosunhotels.com/commodore-hotel,Not Available,Not Available,Pattern Generated,2025-07-08
UCT Graduate School of Business,School / Education,"Breakwater Campus, Portswood Rd, V&A Waterfront",VA-Waterfront,+27 21 406 1965,+27 21 406 1965,https://www.gsb.uct.ac.za,https://www.linkedin.com/school/uct-graduate-school-of-business/,Not Available,Not Available,Pattern Generated,2025-07-08
Cape Town School of English,School / Language Education,V&A Waterfront,VA-Waterfront,+27 21 418 3173,+27 21 418 3173,https://www.ctenglish.co.za,Not Available,Not Available,info@ctenglish.co.za,valid_mx,2025-07-08
V&A Waterfront Spa,Spa / Wellness,V&A Waterfront Centre,VA-Waterfront,+27 21 418 3888,+27 21 418 3888,https://www.waterfrontspa.co.za,https://www.instagram.com/waterfrontspa/,Not Available,info@waterfrontspa.co.za,invalid_no_mx,2025-07-08
Cape Town Diamond Museum,Tourism / Attraction,"Clock Tower, V&A Waterfront",VA-Waterfront,+27 21 421 1212,+27 21 421 1212,https://www.capetowndiamondmuseum.org,Not Available,Not Available,info@capetowndiamondmuseum.org,valid_mx,2025-07-08
Two Oceans Aquarium,Tourism / Attraction,"Dock Rd, V&A Waterfront",VA-Waterfront,+27 21 418 3823,+27 21 418 3823,https://www.aquarium.co.za,https://www.instagram.com/twooceansaquarium/,Not Available,info@aquarium.co.za,valid_mx,2025-07-08
Waterfront Dentistry,Dental Practice,"Breakwater Precinct, V&A Waterfront",VA-Waterfront,+27 21 418 1162,+27 21 418 1162,https://www.waterfrontdentistry.co.za,Not Available,Not Available,info@waterfrontdentistry.co.za,invalid_no_mx,2025-07-08
Mythic Real Estate,Real Estate Agency,V&A Waterfront,VA-Waterfront,+27 21 418 1000,+27 21 418 1000,https://www.mythicre.co.za,https://www.instagram.com/mythicrealestate/,Not Available,info@mythicre.co.za,invalid_no_mx,2025-07-08
Engel & Volkers V&A Waterfront,Real Estate Agency,V&A Waterfront,VA-Waterfront,+27 21 421 6300,+27 21 421 6300,https://www.engelvoelkers.com,https://www.instagram.com/ev_southafrica/,Not Available,Not Available,Pattern Generated,2025-07-08
Pam Golding Properties Waterfront,Real Estate Agency,V&A Waterfront,VA-Waterfront,+27 21 419 1100,+27 21 419 1100,https://www.pamgolding.co.za,https://www.instagram.com/pamgoldingproperties/,Not Available,Not Available,Pattern Generated,2025-07-08
V&A Waterfront Information Centre,Tourism / Information,V&A Waterfront Centre,VA-Waterfront,+27 21 408 7600,+27 21 408 7600,https://www.waterfront.co.za,https://www.instagram.com/vawaterfront/,Not Available,info@waterfront.co.za,valid_mx,2025-07-08
