business_name,niche,address,phone,whatsapp,website,email,social_profiles,email_validation_status,date_enriched,source_urls
Uganda Clays Limited,Manufacturing / Clay Products,"Kampala Industrial Area, Uganda",+256 414 259000,Yes (+256 414 259000),https://www.ugandaclays.com,info@ugandaclays.com,,Pattern Generated,2025-06-15,https://www.ugandaclays.com
Crown Beverages Uganda,Manufacturing / Beverages,"Jinja Road, Industrial Area, Kampala, Uganda",+256 414 259300,Yes (+256 414 259300),https://www.crownbeverages.co.ug,info@crownbeverages.co.ug,,Pattern Generated,2025-06-15,https://www.crownbeverages.co.ug
Nice House of Plastics,Manufacturing / Plastics,"5th Street, Industrial Area, Kampala, Uganda",+256 414 258500,Yes (+256 414 258500),https://www.niceplastics.ug,info@niceplastics.ug,,Pattern Generated,2025-06-15,https://www.niceplastics.ug
Plastic Recycling Industries Uganda,Manufacturing / Recycling,"Industrial Area, Kampala, Uganda",+256 414 343770,Yes (+256 414 343770),https://www.pri.ug,info@pri.ug,,Pattern Generated,2025-06-15,https://www.pri.ug
Spear Motors Uganda,Automotive / Dealership,"Plot 24-30, Jinja Road, Kampala, Uganda",+256 414 259800,Yes (+256 414 259800),https://www.spearmotors.com,info@spearmotors.com,,Found on website,2025-06-15,https://www.spearmotors.com
Toyota Uganda,Automotive / Dealership,"Plot 9, Jinja Road, Kampala, Uganda",+256 414 259700,Yes (+256 414 259700),https://www.toyota.ug,info@toyota.ug,,Found on website,2025-06-15,https://www.toyota.ug
GA Satellites Uganda,Telecom Equipment,"Industrial Area, Kampala, Uganda",+256 414 259600,Yes (+256 414 259600),https://www.gasatellites.com,info@gasatellites.com,,Pattern Generated,2025-06-15,https://www.gasatellites.com
Piramide Printers Uganda,Printing Services,"5th Street, Industrial Area, Kampala, Uganda",+256 414 258200,Yes (+256 414 258200),https://www.piramide.co.ug,info@piramide.co.ug,,Pattern Generated,2025-06-15,https://www.piramide.co.ug
Graphic Systems Uganda,Printing Services,"Industrial Area, Kampala, Uganda",+256 414 258100,Yes (+256 414 258100),https://www.graphicsystems.ug,info@graphicsystems.ug,,Pattern Generated,2025-06-15,https://www.graphicsystems.ug
National Water and Sewerage Corporation,Utility / Government,"Plot 29, Jinja Road, Kampala, Uganda",+256 414 255800,Yes (+256 414 255800),https://www.nwsc.co.ug,info@nwsc.co.ug,,Found on website,2025-06-15,https://www.nwsc.co.ug
Uganda Electricity Distribution Company,Utility / Electricity,"Industrial Area, Kampala, Uganda",+256 414 259000,Yes (+256 414 259000),https://www.uedcl.co.ug,info@uedcl.co.ug,,Found on website,2025-06-15,https://www.uedcl.co.ug
SBI International Banking (U) Ltd,Bank,"7th Street, Industrial Area, Kampala, Uganda",+256 414 258300,Yes (+256 414 258300),https://www.sbibi.com,info@sbibi.com,,Pattern Generated,2025-06-15,https://www.sbibi.com
City Tyres Uganda,Automotive / Tyres,"Jinja Road, Kampala, Uganda",+256 414 257600,Yes (+256 414 257600),https://www.citytyres.ug,info@citytyres.ug,,Pattern Generated,2025-06-15,https://www.citytyres.ug
Good African Coffee Factory,Manufacturing / Coffee,"1st Street, Industrial Area, Kampala, Uganda",+256 414 251777,Yes (+256 414 251777),https://www.googafricancoffee.com,info@googafricancoffee.com,,Found on website,2025-06-15,https://www.googafricancoffee.com
