business_name,niche,address,phone,whatsapp,website,email,social_profiles,email_validation_status,date_enriched,source_urls
Hotel Diplomate,Hotel,"3 Parliament Avenue, Kololo, Kampala, Uganda",+256 414 259444,Yes (+256 414 259444),https://www.hoteldiplomate.co.ug,info@hoteldiplomate.co.ug,,Pattern Generated,2025-06-15,https://www.hoteldiplomate.co.ug
United States Embassy Kampala,Embassy,"1577 Ggaba Road, Kololo, Kampala, Uganda",+256 414 306001,Yes (+256 414 306001),https://ug.usembassy.gov,KampalaConsular@state.gov,,Found on website,2025-06-15,https://ug.usembassy.gov
British High Commission Kampala,Embassy,"Plot 28, Yusuf Lule Road, Kampala, Uganda",+256 414 257000,Yes (+256 414 257000),https://www.gov.uk/world/uganda,enquiries.bhc@fco.gov.uk,,Found on website,2025-06-15,https://www.gov.uk/world/uganda
French Embassy Kampala,Embassy,"26 Lumumba Avenue, Nakasero, Kampala, Uganda",+256 414 301700,Yes (+256 414 301700),https://ug.ambafrance.org,consulat.kampala-ambafrance@diplomatie.gouv.fr,,Found on website,2025-06-15,https://ug.ambafrance.org
German Embassy Kampala,Embassy,"20 Yusuf Lule Road, Kampala, Uganda",+256 414 343055,Yes (+256 414 343055),https://kampala.diplo.de,info@kampala.diplo.de,,Found on website,2025-06-15,https://kampala.diplo.de
MMKS Advocates,Law Firm,"Plot 1, Acacia Avenue, Kololo, Kampala, Uganda",+256 414 343434,Yes (+256 414 343434),https://www.mmks.co.ug,info@mmks.co.ug,,Found on website,2025-06-15,https://www.mmks.co.ug
Sebalu & Lule Advocates,Law Firm,"Plot 6, Kimathi Avenue, Kololo, Kampala, Uganda",+256 414 346080,Yes (+256 414 346080),https://www.sebalulule.com,info@sebalulule.com,,Pattern Generated,2025-06-15,https://www.sebalulule.com
Bowmans Uganda,Law Firm,"Plot 17A, Akii Bua Road, Kololo, Kampala, Uganda",+256 414 259400,Yes (+256 414 259400),https://www.bowmanslaw.com,kampala@bowmanslaw.com,,Found on website,2025-06-15,https://www.bowmanslaw.com
Stanbic Bank Uganda Kololo Branch,Bank,"Kampala Road, Kololo, Kampala, Uganda",+256 414 256666,Yes (+256 414 256666),https://www.stanbicbank.co.ug,info@stanbicbank.co.ug,,Found on website,2025-06-15,https://www.stanbicbank.co.ug
Centenary Bank Kololo Branch,Bank,"Kololo Hill Road, Kampala, Uganda",+256 414 324300,Yes (+256 414 324300),https://www.centenarybank.co.ug,info@centenarybank.co.ug,,Found on website,2025-06-15,https://www.centenarybank.co.ug
Kampala Parents School,School,"Kololo Hill Road, Kololo, Kampala, Uganda",+256 414 346070,Yes (+256 414 346070),https://www.kampalaparents.com,info@kampalaparents.com,,Found on website,2025-06-15,https://www.kampalaparents.com
Kabira International School,School,"Plot 24, Mackenzie Vale, Kololo, Kampala, Uganda",+256 414 346430,Yes (+256 414 346430),https://www.kabiraschool.org,admin@kabiraschool.org,,Found on website,2025-06-15,https://www.kabiraschool.org
Cafe Javas Kololo,Cafe,"Kololo Hill Road, Kololo, Kampala, Uganda",+256 414 346900,Yes (+256 414 346900),https://www.cafejavas.co.ug,info@cafejavas.co.ug,,Found on website,2025-06-15,https://www.cafejavas.co.ug
1000 Cups Coffee Kololo,Cafe,"Kololo Hill Road, Kololo, Kampala, Uganda",+256 414 346350,Yes (+256 414 346350),https://www.1000cups.co.ug,info@1000cups.co.ug,,Pattern Generated,2025-06-15,https://www.1000cups.co.ug
UNICEF Uganda,NGO / International Organization,"Plot 6, George Street, Kamwokya, Kampala, Uganda",+256 414 335700,Yes (+256 414 335700),https://www.unicef.org/uganda,ugandalodge@unicef.org,,Found on website,2025-06-15,https://www.unicef.org/uganda
USAID Uganda Mission,NGO / International Organization,"Plot 3, Pilkington Road, Kampala, Uganda",+256 414 306001,Yes (+256 414 306001),https://www.usaid.gov/uganda,kampala@usaid.gov,,Found on website,2025-06-15,https://www.usaid.gov/uganda
Uganda Golf Club,Sports & Recreation,"Kololo Hill Road, Kololo, Kampala, Uganda",+256 414 343382,Yes (+256 414 343382),https://www.ugandagolfclub.co.ug,info@ugandagolfclub.co.ug,,Pattern Generated,2025-06-15,https://www.ugandagolfclub.co.ug
Knight Frank Uganda,Real Estate,"Plot 23, Acacia Avenue, Kololo, Kampala, Uganda",+256 414 343500,Yes (+256 414 343500),https://www.knightfrank.co.ug,uganda@knightfrank.com,,Found on website,2025-06-15,https://www.knightfrank.co.ug
DawaPlus Pharmacy Kololo,Pharmacy,"Kololo Hill Road, Kololo, Kampala, Uganda",+256 414 346700,Yes (+256 414 346700),https://www.dawaplus.ug,info@dawaplus.ug,,Pattern Generated,2025-06-15,https://www.dawaplus.ug
Ogilvy Uganda,Marketing Agency,"Plot 21A, Windsor Loop, Kololo, Kampala, Uganda",+256 414 343333,Yes (+256 414 343333),https://www.ogilvy.ug,kampala@ogilvy.com,,Found on website,2025-06-15,https://www.ogilvy.ug
Surgical Associates Kololo,Hospital / Clinic,"Plot 14, Kololo Hill Road, Kampala, Uganda",+256 414 346220,Yes (+256 414 346220),https://www.surgicalassociates.co.ug,info@surgicalassociates.co.ug,,Pattern Generated,2025-06-15,https://www.surgicalassociates.co.ug
